(176	268	1)
(10	70	1)
(414	420	1)
(63	289	1)
(64	381	1)
(64	174	1)
(449	165	1)
(281	304	1)
(64	97	1)
(176	46	1)
(176	340	1)
(10	248	1)
(176	492	1)
(64	488	1)
(73	188	1)
(64	69	1)
(21	480	1)
(176	464	1)
(281	5	1)
(281	306	1)
(174	227	1)
(88	416	1)
(174	115	1)
(63	146	1)
(174	120	1)
(103	413	1)
(103	499	1)
(63	280	1)
(73	329	1)
(30	464	1)
(174	471	1)
(388	390	1)
(245	206	1)
(38	222	1)
(176	324	1)
(88	126	1)
(88	315	1)
(64	107	1)
(448	325	1)
(448	344	1)
(177	238	1)
(100	304	1)
(447	393	1)
(247	455	1)
(279	296	1)
(100	446	1)
(363	494	1)
(280	338	1)
(38	253	1)
(279	428	1)
(447	419	1)
(38	452	1)
(178	495	1)
(178	400	1)
(447	178	1)
(363	427	1)
(448	270	1)
(102	371	1)
(10	217	1)
(281	361	1)
(281	37	1)
(64	77	1)
(363	502	1)
(100	400	1)
(9	236	1)
(73	225	1)
(247	59	1)
(448	366	1)
(280	403	1)
(38	69	1)
(448	465	1)
(448	385	1)
(363	240	1)
(173	175	1)
(173	294	1)
(285	205	1)
(451	318	1)
(40	490	1)
(40	115	1)
(451	481	1)
(103	239	1)
(362	153	1)
(285	463	1)
(173	233	1)
(63	1	1)
(390	386	1)
(451	137	1)
(9	473	1)
(173	106	1)
(414	388	1)
(9	304	1)
(103	336	1)
(172	318	1)
(30	205	1)
(104	487	1)
(172	272	1)
(75	54	1)
(414	433	1)
(221	426	1)
(362	271	1)
(172	416	1)
(451	424	1)
(172	309	1)
(414	235	1)
(104	388	1)
(362	141	1)
(414	252	1)
(285	101	1)
(173	287	1)
(285	281	1)
(39	310	1)
(174	217	1)
(389	293	1)
(63	307	1)
(283	289	1)
(21	140	1)
(362	8	1)
(283	83	1)
(174	294	1)
(103	493	1)
(174	387	1)
(414	154	1)
(220	228	1)
(220	156	1)
(21	243	1)
(414	442	1)
(451	123	1)
(174	26	1)
(362	156	1)
(74	456	1)
(245	378	1)
(173	133	1)
(103	214	1)
(285	350	1)
(285	115	1)
(415	429	1)
(39	163	1)
(174	420	1)
(285	475	1)
(103	442	1)
(284	500	1)
(284	130	1)
(220	312	1)
(11	414	1)
(278	279	1)
(278	410	1)
(180	88	1)
(368	235	1)
(442	221	1)
(180	410	1)
(180	198	1)
(99	22	1)
(11	31	1)
(442	298	1)
(278	217	1)
(219	123	1)
(89	376	1)
(89	468	1)
(442	449	1)
(180	28	1)
(278	358	1)
(368	186	1)
(37	22	1)
(73	245	1)
(179	243	1)
(64	148	1)
(11	284	1)
(64	143	1)
(179	415	1)
(278	44	1)
(11	435	1)
(180	341	1)
(100	291	1)
(442	308	1)
(31	92	1)
(219	450	1)
(368	193	1)
(181	470	1)
(181	139	1)
(98	205	1)
(181	390	1)
(278	383	1)
(181	465	1)
(89	208	1)
(247	140	1)
(65	160	1)
(247	352	1)
(21	410	1)
(65	182	1)
(442	131	1)
(181	76	1)
(181	322	1)
(12	41	1)
(442	168	1)
(278	277	1)
(99	144	1)
(180	377	1)
(21	369	1)
(388	3	1)
(180	432	1)
(388	169	1)
(89	246	1)
(180	458	1)
(65	457	1)
(278	275	1)
(38	81	1)
(178	445	1)
(247	159	1)
(364	315	1)
(88	146	1)
(388	183	1)
(178	286	1)
(364	249	1)
(100	152	1)
(64	153	1)
(100	460	1)
(279	299	1)
(64	401	1)
(64	129	1)
(179	84	1)
(11	237	1)
(178	374	1)
(178	353	1)
(388	67	1)
(220	132	1)
(415	72	1)
(178	35	1)
(38	409	1)
(178	317	1)
(220	142	1)
(73	190	1)
(11	109	1)
(447	349	1)
(73	231	1)
(447	87	1)
(11	478	1)
(278	310	1)
(100	423	1)
(64	192	1)
(278	468	1)
(447	441	1)
(179	497	1)
(179	391	1)
(100	19	1)
(30	184	1)
(179	422	1)
(172	29	1)
(11	121	1)
(179	17	1)
(278	267	1)
(219	138	1)
(86	74	1)
(459	137	1)
(290	98	1)
(459	510	1)
(290	111	1)
(358	255	1)
(358	51	1)
(290	334	1)
(21	382	1)
(459	314	1)
(165	212	1)
(243	12	1)
(106	466	1)
(106	498	1)
(43	192	1)
(293	457	1)
(462	361	1)
(21	232	1)
(165	209	1)
(61	209	1)
(459	330	1)
(106	411	1)
(293	273	1)
(223	433	1)
(358	343	1)
(290	332	1)
(290	187	1)
(290	359	1)
(75	233	1)
(223	150	1)
(166	218	1)
(358	269	1)
(456	400	1)
(166	25	1)
(166	139	1)
(106	436	1)
(290	190	1)
(459	355	1)
(166	210	1)
(7	150	1)
(293	409	1)
(290	204	1)
(166	199	1)
(164	274	1)
(357	511	1)
(60	286	1)
(294	202	1)
(462	78	1)
(223	114	1)
(294	331	1)
(164	443	1)
(242	502	1)
(357	391	1)
(293	36	1)
(223	234	1)
(43	135	1)
(295	453	1)
(357	45	1)
(86	145	1)
(242	19	1)
(107	127	1)
(164	225	1)
(23	189	1)
(294	53	1)
(242	461	1)
(223	437	1)
(223	323	1)
(107	300	1)
(43	402	1)
(462	162	1)
(164	14	1)
(75	305	1)
(107	207	1)
(242	371	1)
(21	439	1)
(7	440	1)
(293	58	1)
(60	302	1)
(453	154	1)
(453	259	1)
(105	79	1)
(42	180	1)
(171	429	1)
(105	316	1)
(171	356	1)
(105	236	1)
(221	313	1)
(172	485	1)
(171	55	1)
(453	472	1)
(62	374	1)
(62	194	1)
(288	502	1)
(171	476	1)
(21	49	1)
(30	351	1)
(453	379	1)
(62	230	1)
(414	116	1)
(414	224	1)
(287	365	1)
(172	384	1)
(172	265	1)
(244	315	1)
(286	380	1)
(62	229	1)
(172	345	1)
(452	504	1)
(172	496	1)
(172	258	1)
(361	251	1)
(172	266	1)
(167	215	1)
(43	66	1)
(454	297	1)
(454	436	1)
(360	430	1)
(167	358	1)
(288	503	1)
(360	226	1)
(7	474	1)
(390	509	1)
(61	404	1)
(454	320	1)
(289	347	1)
(360	415	1)
(414	501	1)
(42	33	1)
(169	68	1)
(453	333	1)
(222	34	1)
(390	6	1)
(98	264	1)
(86	185	1)
(90	396	1)
(420	399	1)
(378	13	1)
(201	510	1)
(431	291	1)
(16	464	1)
(19	292	1)
(262	236	1)
(202	438	1)
(90	381	1)
(200	113	1)
(200	331	1)
(93	167	1)
(15	384	1)
(262	147	1)
(200	321	1)
(213	25	1)
(69	211	1)
(72	170	1)
(18	39	1)
(203	413	1)
(431	91	1)
(254	442	1)
(383	257	1)
(383	47	1)
(72	191	1)
(35	506	1)
(253	128	1)
(265	339	1)
(214	467	1)
(433	161	1)
(418	198	1)
(197	18	1)
(94	284	1)
(90	434	1)
(20	340	1)
(377	479	1)
(90	375	1)
(200	354	1)
(377	50	1)
(93	216	1)
(433	373	1)
(377	149	1)
(200	405	1)
(433	303	1)
(32	504	1)
(15	370	1)
(71	482	1)
(90	486	1)
(256	281	1)
(383	425	1)
(421	406	1)
(71	511	1)
(382	80	1)
(260	70	1)
(421	252	1)
(212	346	1)
(212	119	1)
(421	311	1)
(18	238	1)
(256	122	1)
(210	282	1)
(212	342	1)
(381	118	1)
(205	276	1)
(205	398	1)
(427	505	1)
(18	507	1)
(212	484	1)
(212	348	1)
(92	82	1)
(212	117	1)
(18	136	1)
(207	112	1)
(186	96	1)
(186	319	1)
(97	489	1)
(185	250	1)
